metaheuristica,instancia,familia,tier,bks,costo_antes,gap_antes_%,costo_nuevo_probado,costo_despues,gap_despues_%,mejoro,cruzo_a_<=1%
CS,gdb7,gdb,A(1-3%),325.0,334.0,2.769,325.0,325.0,0.0,True,True
CS,gdb12,gdb,C(10-25%),458.0,538.0,17.467,460.0,460.0,0.437,True,True
CS,gdb10,gdb,C(10-25%),275.0,310.0,12.727,275.0,275.0,0.0,True,True
CS,gdb2,gdb,C(10-25%),339.0,389.0,14.749,339.0,339.0,0.0,True,True
CS,gdb5,gdb,B(3-10%),377.0,402.0,6.631,377.0,377.0,0.0,True,True
CS,gdb13,gdb,B(3-10%),536.0,580.0,8.209,548.0,548.0,2.239,True,False
CS,gdb16,gdb,B(3-10%),127.0,133.0,4.724,129.0,129.0,1.575,True,False
CS,gdb21,gdb,C(10-25%),156.0,182.0,16.667,158.0,158.0,1.282,True,False
CS,val1B,val,B(3-10%),247.0,270.0,9.312,260.0,260.0,5.263,True,False
CS,val1C,val,B(3-10%),319.0,338.0,5.956,328.0,328.0,2.821,True,False
CS,val2B,val,A(1-3%),330.0,339.0,2.727,336.0,336.0,1.818,True,False
CS,val2C,val,B(3-10%),528.0,560.0,6.061,556.0,556.0,5.303,True,False
CS,val3C,val,B(3-10%),162.0,167.0,3.086,167.0,167.0,3.086,False,False
CS,val4A,val,A(1-3%),522.0,530.0,1.533,530.0,530.0,1.533,False,False
CS,val4B,val,B(3-10%),534.0,560.0,4.869,558.0,558.0,4.494,True,False
CS,val4C,val,B(3-10%),550.0,602.0,9.455,597.0,597.0,8.545,True,False
CS,val4D,val,C(10-25%),650.0,720.0,10.769,696.0,696.0,7.077,True,False
CS,val5A,val,B(3-10%),566.0,588.0,3.887,579.0,579.0,2.297,True,False
CS,val5B,val,B(3-10%),589.0,613.0,4.075,593.0,593.0,0.679,True,True
CS,val5C,val,B(3-10%),617.0,645.0,4.538,641.0,641.0,3.89,True,False
CS,val5D,val,C(10-25%),718.0,801.0,11.56,772.0,772.0,7.521,True,False
CS,val6B,val,B(3-10%),340.0,356.0,4.706,356.0,356.0,4.706,False,False
CS,val6C,val,B(3-10%),424.0,442.0,4.245,436.0,436.0,2.83,True,False
CS,val7A,val,A(1-3%),382.0,393.0,2.88,393.0,393.0,2.88,False,False
CS,val7B,val,B(3-10%),386.0,407.0,5.44,400.0,400.0,3.627,True,False
CS,val7C,val,C(10-25%),437.0,488.0,11.67,473.0,473.0,8.238,True,False
CS,val8A,val,B(3-10%),522.0,546.0,4.598,530.0,530.0,1.533,True,False
CS,val8B,val,B(3-10%),531.0,547.0,3.013,546.0,546.0,2.825,True,False
CS,val8C,val,B(3-10%),657.0,716.0,8.98,716.0,716.0,8.98,False,False
CS,val9A,val,B(3-10%),450.0,483.0,7.333,480.0,480.0,6.667,True,False
CS,val9B,val,C(10-25%),453.0,504.0,11.258,475.0,475.0,4.857,True,False
CS,val9C,val,B(3-10%),459.0,503.0,9.586,493.0,493.0,7.407,True,False
CS,val9D,val,C(10-25%),515.0,574.0,11.456,553.0,553.0,7.379,True,False
CS,val10A,val,B(3-10%),637.0,659.0,3.454,651.0,651.0,2.198,True,False
CS,val10B,val,B(3-10%),645.0,667.0,3.411,655.0,655.0,1.55,True,False
CS,val10C,val,B(3-10%),655.0,694.0,5.954,687.0,687.0,4.885,True,False
