approach	metaheuristica	instancia	n_tareas	bks_referencia	bks_origen	n_reps	media_gap	std_gap	mejor_gap	peor_gap	mediana_gap	reps_bks_alcanzado	pct_bks_alcanzado	media_tiempo_s	std_tiempo_s	min_tiempo_s	max_tiempo_s	tasa_factible_pct	mejor_costo	media_costo	std_costo	media_iters_totales	media_mejoras	media_n_resets	rango_media_gap_en_approach
binario_capacidad	tabu_reactiva	gdb17		91.0	BKS	5	2.1978	0.0000	2.1978	2.1978	2.1978	0	0.0	5.57	1.47	4.34	8.07	100.0	93.0	93.00	0.00	285	0.0	0.00	5
binario_capacidad	tabu_reactiva	gdb19		55.0	BKS	5	29.0909	7.2727	18.1818	36.3636	32.7273	0	0.0	0.51	0.28	0.24	0.88	100.0	65.0	71.00	4.00	117	1.4	0.00	4
binario_capacidad	tabu_reactiva	gdb2		339.0	BKS	5	26.3717	1.4085	23.8938	27.1386	27.1386	0	0.0	7.98	2.52	3.48	9.38	100.0	420.0	428.40	4.77	459	0.6	0.00	2
binario_capacidad	tabu_reactiva	gdb20		121.0	BKS	5	16.6942	3.6213	10.7438	20.6612	17.3554	0	0.0	3.56	0.80	2.80	4.81	100.0	134.0	141.20	4.38	303	9.6	0.00	1
binario_capacidad	tabu_reactiva	gdb21		156.0	BKS	5	14.4872	3.2243	10.8974	17.9487	14.7436	0	0.0	9.21	1.88	6.11	11.07	100.0	173.0	178.60	5.03	513	11.6	0.00	1
binario_capacidad	tabu_reactiva	gdb3		275.0	BKS	5	21.0182	0.5975	20.3636	21.4545	21.4545	0	0.0	5.25	0.42	4.86	5.94	100.0	331.0	332.80	1.64	440	1.4	0.00	2
binario_capacidad	tabu_reactiva	gdb4		287.0	BKS	5	22.2300	2.1815	18.4669	23.6934	22.9965	0	0.0	3.76	0.52	2.98	4.24	100.0	340.0	350.80	6.26	365	2.0	0.00	2
binario_capacidad	tabu_reactiva	gdb5		377.0	BKS	5	29.5491	3.3531	24.4032	31.8302	31.8302	0	0.0	8.60	0.39	8.19	9.16	100.0	469.0	488.40	12.64	520	3.2	0.00	2
binario_capacidad	tabu_reactiva	gdb6		298.0	BKS	5	11.7450	0.0000	11.7450	11.7450	11.7450	0	0.0	5.13	0.89	3.57	5.75	100.0	333.0	333.00	0.00	417	0.0	0.00	5
binario_capacidad	tabu_reactiva	gdb7		325.0	BKS	5	6.4615	0.0000	6.4615	6.4615	6.4615	0	0.0	5.18	0.49	4.80	5.86	100.0	346.0	346.00	0.00	440	0.0	0.00	5
binario_capacidad	tabu_reactiva	kshs1		14661.0	BKS	5	5.2739	2.3026	2.6397	8.7716	5.5249	0	0.0	2.04	0.13	1.94	2.26	100.0	15048.0	15434.20	337.59	300	7.0	0.00	2
binario_capacidad	tabu_reactiva	kshs2		9863.0	BKS	5	4.5848	3.3075	1.6121	8.5674	2.6361	0	0.0	2.07	0.11	1.88	2.16	100.0	10022.0	10315.20	326.22	300	8.6	0.00	2
binario_capacidad	tabu_reactiva	kshs3		9320.0	BKS	5	4.4979	2.6580	0.0000	6.4807	5.9120	1	20.0	2.06	0.18	1.77	2.22	100.0	9320.0	9739.20	247.73	300	7.2	0.00	2
binario_capacidad	tabu_reactiva	kshs4		11498.0	BKS	5	8.3754	3.9341	3.5745	13.3501	8.6015	0	0.0	2.09	0.27	1.80	2.44	100.0	11909.0	12461.00	452.34	300	15.0	0.00	1
binario_capacidad	tabu_reactiva	kshs5		10957.0	BKS	5	8.9112	9.4516	0.0000	24.3862	7.0457	1	20.0	1.68	0.43	0.96	2.01	100.0	10957.0	11933.40	1035.61	278	13.2	0.00	1
binario_capacidad	tabu_reactiva	kshs6		10197.0	BKS	5	13.2039	8.3112	4.9819	24.2620	9.6107	0	0.0	2.07	0.09	1.99	2.22	100.0	10705.0	11543.40	847.50	295	5.8	0.00	2
pr_aislado	busqueda_abejas_simple	gdb1	22	316.0	BKS	10	3.2595	1.6277	2.2152	6.9620	2.2152	0	0.0	14.91	1.01	13.96	17.52	100.0	323.0	326.30	5.14	440	4.4	12.90	1
pr_aislado	busqueda_abejas_simple	gdb10	25	275.0	BKS	10	3.9636	2.6691	0.0000	7.6364	4.1818	2	20.0	17.84	2.08	15.39	20.68	100.0	275.0	285.90	7.34	500	5.1	14.40	1
pr_aislado	busqueda_abejas_simple	gdb12	23	458.0	BKS	10	15.1310	5.4804	6.9869	23.1441	16.2664	0	0.0	18.36	1.35	16.50	20.84	100.0	490.0	527.30	25.10	460	22.6	10.60	1
