metaheuristica,instancia,familia,gap_%,bks,costo_actual,tier
CS,egl-s4-C,egl,14.533,20430,23399,C(10-25%)
VDO,kshs4,kshs,12.08,11498,12887,C(10-25%)
VDO,kshs5,kshs,5.476,10957,11557,B(3-10%)
VDO,gdb14,gdb,2,100,102,A(1-3%)
VDO,gdb1,gdb,2.215,316,323,A(1-3%)
VDO,gdb20,gdb,7.438,121,130,B(3-10%)
VDO,gdb3,gdb,5.091,275,289,B(3-10%)
VDO,gdb6,gdb,1.007,298,301,A(1-3%)
VDO,gdb7,gdb,1.846,325,331,A(1-3%)
VDO,gdb12,gdb,9.17,458,500,B(3-10%)
VDO,gdb10,gdb,6.182,275,292,B(3-10%)
VDO,gdb2,gdb,5.015,339,356,B(3-10%)
VDO,gdb5,gdb,4.244,377,393,B(3-10%)
VDO,gdb13,gdb,8.022,536,579,B(3-10%)
VDO,gdb16,gdb,1.575,127,129,A(1-3%)
VDO,gdb21,gdb,6.41,156,166,B(3-10%)
VDO,val1A,val,3.644,247,256,B(3-10%)
VDO,val1B,val,18.623,247,293,C(10-25%)
VDO,val1C,val,23.824,319,395,C(10-25%)
VDO,val2A,val,2.349,298,305,A(1-3%)
VDO,val2B,val,3.939,330,343,B(3-10%)
VDO,val2C,val,13.068,528,597,C(10-25%)
VDO,val3A,val,2.857,105,108,A(1-3%)
VDO,val3B,val,4.505,111,116,B(3-10%)
VDO,val3C,val,10.494,162,179,C(10-25%)
VDO,val4A,val,19.732,522,625,C(10-25%)
VDO,val4B,val,22.472,534,654,C(10-25%)
VDO,val4C,val,39.091,550,765,D(>25%)
VDO,val4D,val,41.846,650,922,D(>25%)
VDO,val5A,val,4.947,566,594,B(3-10%)
VDO,val5B,val,11.545,589,657,C(10-25%)
VDO,val5C,val,15.235,617,711,C(10-25%)
VDO,val5D,val,22.841,718,882,C(10-25%)
VDO,val6A,val,4.848,330,346,B(3-10%)
VDO,val6B,val,10,340,374,B(3-10%)
VDO,val6C,val,6.604,424,452,B(3-10%)
VDO,val7A,val,10.733,382,423,C(10-25%)
VDO,val7B,val,18.912,386,459,C(10-25%)
VDO,val7C,val,47.597,437,645,D(>25%)
VDO,val8A,val,6.513,522,556,B(3-10%)
VDO,val8B,val,9.04,531,579,B(3-10%)
VDO,val8C,val,23.592,657,812,C(10-25%)
VDO,val9A,val,15.778,450,521,C(10-25%)
VDO,val9B,val,109.051,453,947,D(>25%)
VDO,val9C,val,112.854,459,977,D(>25%)
VDO,val9D,val,86.408,515,960,D(>25%)
VDO,val10A,val,13.815,637,725,C(10-25%)
VDO,val10B,val,91.628,645,1236,D(>25%)
VDO,val10C,val,48.855,655,975,D(>25%)
VDO,val10D,val,20.845,734,887,C(10-25%)
VDO,gdb8,gdb,12.931,348,393,C(10-25%)
VDO,gdb9,gdb,18.482,303,359,C(10-25%)
VDO,gdb11,gdb,7.342,395,424,B(3-10%)
VDO,gdb18,gdb,2.439,164,168,A(1-3%)
VDO,gdb22,gdb,3,200,206,A(1-3%)
VDO,gdb23,gdb,6.867,233,249,B(3-10%)
VDO,egl-e1-A,egl,72.041,3548,6104,D(>25%)
VDO,egl-e1-B,egl,76.856,4498,7955,D(>25%)
VDO,egl-e1-C,egl,66.077,5595,9292,D(>25%)
VDO,egl-e2-A,egl,91.67,5018,9618,D(>25%)
VDO,egl-e2-B,egl,40.937,6317,8903,D(>25%)
VDO,egl-e2-C,egl,34.493,8335,11210,D(>25%)
VDO,egl-e3-A,egl,28.298,5898,7567,D(>25%)
VDO,egl-e3-B,egl,34.026,7744,10379,D(>25%)
VDO,egl-e3-C,egl,30.691,10244,13388,D(>25%)
VDO,egl-e4-A,egl,45.974,6408,9354,D(>25%)
VDO,egl-e4-B,egl,26.323,8935,11287,D(>25%)
VDO,egl-e4-C,egl,29.56,11512,14915,D(>25%)
VDO,egl-s1-A,egl,60.183,5018,8038,D(>25%)
VDO,egl-s1-B,egl,64.339,6388,10498,D(>25%)
VDO,egl-s1-C,egl,58.547,8518,13505,D(>25%)
VDO,egl-s2-A,egl,66.534,9825,16362,D(>25%)
VDO,egl-s2-B,egl,65,13017,21478,D(>25%)
VDO,egl-s2-C,egl,67.878,16425,27574,D(>25%)
VDO,egl-s3-A,egl,75.721,10165,17862,D(>25%)
VDO,egl-s3-B,egl,78.473,13648,24358,D(>25%)
VDO,egl-s3-C,egl,78.02,17188,30598,D(>25%)
VDO,egl-s4-A,egl,82.26,12153,22150,D(>25%)
VDO,egl-s4-B,egl,81.475,16113,29241,D(>25%)
VDO,egl-s4-C,egl,78.703,20430,36509,D(>25%)
